station,latitude,longitude
가능,,
가산디지털단지,37.4811287,126.8830584
간석,,
강변,37.53553,127.09376
개봉,37.4935156,126.8569784
경마공원,,
경복궁,37.57717,126.97242
고잔,,
과천,,
관악,,
광나루,37.5455696,127.1029226
광명,,
광화문,37.5701914,126.9767335
교대,37.494178,127.015909
구로,37.500469,126.8827671
구의,37.5380809,127.088928
구일,37.4963802,126.8708946
군자,37.5572,127.0794936
군포,,
굽은다리,37.5454063,127.1426773
금정,,
금천구청,37.4570351,126.8943253
남부터미터널,,
남영,37.5419268,126.9715747
노량진,37.5137277,126.9419465
녹양,,
녹천,37.6429291,127.0519486
당정,,
대곡,,
대공원,,
대림,37.4935155,126.8945544
대방,37.5127837,126.9245452
대야미,,
대화,,
덕계,,
덕정,,
도봉,37.6792191,127.0455416
도봉산,37.6898359,127.0460783
도원,,
도화,,
독산,37.4660335,126.8895072
동두천,,
동두천중앙,,
동암,,
동인천,,
동작,37.5032514,126.9759981
두정,,
마두,,
망월사,,
명학,,
미아,37.6262408,127.0261837
반월,,
방학,37.66951,127.04333
배방,,
백석,,
백운,,
범계,,
별내별가람역,,
병점,,
보산,,
봉명,,
부개,,
부천,,
부평,,
산본,,
삼성,37.5088402,127.063143
삼송,,
상록수,,
서동탄,,
서울대입구,37.4806596,126.9525244
서정리,,
석계,37.6148083,127.0658393
석수,37.4356467,126.903248
선바위,,
성균관대,,
성북,,
성신여대입구,37.59346,127.01636
성환,,
세류,,
세마,,
소사,,
소요산,,
송내,,
송탄,,
수리산,,
수원,,
수유,37.6370551,127.024797
숙대입구,37.5431477,126.9725121
신길온천,,
신이문,37.6023735,127.0675586
신정,37.5247923,126.8537756
신창,,
쌍용,,
아산,,
아차산,37.5511132,127.0905123
안산,,
안양,,
양재,37.4838155,127.0346881
양주,,
역곡,,
영등포,37.5153957,126.9072076
오남역,,
오류동,37.4955833,126.8426501
오목교,37.5244192,126.8760954
오산,,
오산대,,
오이도,,
온수,37.4922897,126.8243773
온양온천,,
올림픽공원,37.5163484,127.1313146
왕십리,37.5611294,127.0354654
외대앞,37.5954015,127.063075
용두,37.5739552,127.0371372
용산,37.5299526,126.9648271
원당,,
원흥,,
월계,37.6341068,127.0589231
의왕,,
의정부,,
이수,37.4849733,126.9806863
이촌,37.5223012,126.9739562
인덕원,,
인천,,
잠실,37.5124397,127.0964435
정발산,,
정부과천청사,,
정왕,,
제물포,,
주안,,
주엽,,
중동,,
중앙,,
지제,,
지행,,
직산,,
진위,,
진접광릉숲,,
천안,,
천호,37.5379268,127.1256225
청량리,37.5799754,127.0446284
초지,,
충정로,37.5613585,126.9635584
평촌,,
평택,,
풍양역,,
하남시청,,
한대앞,,
한성대입구,37.5884599,127.0061144
화서,,
화정,,
회기,37.5894974,127.0576239
회룡,,
회현,37.55772,126.97671
