station,latitude,longitude
도봉,37.6792191,127.0455416
보산,,
가락시장,37.4925106,127.1185729
강남,37.5002114,127.0267345
강동,37.5360713,127.1315939
강변,37.53553,127.09376
강일,37.556461,127.1745297
개롱,37.4980621,127.134613
개화산,37.5724716,126.8061676
거여,37.4941319,127.1424537
건대입구,37.54088,127.06812
경마공원,,
경복 궁,,
경찰병원,37.4954682,127.1244131
고덕,37.5553529,127.1558802
고속터미널,37.5050827,127.0049777
고잔,,
공덕,37.5435,126.95081
과천,,
광나루,37.5455696,127.1029226
광화문,37.5701914,126.9767335
교대,37.494178,127.015909
구로디지 털단지,,
구의,37.5380809,127.088928
구파발,37.6368397,126.9187448
군자,37.5572,127.0794936
굽은다리,37.5454063,127.1426773
금호,37.54776,127.01621
길동,37.5378438,127.1399127
길음,37.6045691,127.0256957
김포공항,37.5617187,126.8040606
까치산,37.533426,126.8452024
낙성대,37.4764008,126.9648789
남부터미터널,,
남태령,37.4655844,126.9881213
노원,37.6563651,127.0634799
녹번,37.6008462,126.9346749
답십리,37.5667506,127.0531606
당고개,37.670098,127.0789245
당산,37.5351137,126.8997751
대곡,,
대공원,,
대림,37.4935155,126.8945544
대야미,,
대청,37.4937307,127.0797336
대치,37.4948614,127.0640273
대화,,
도곡,37.4908632,127.0553286
도림천,37.5138748,126.8839602
독립문,37.5737136,126.9589584
동대문역사문화공원,37.5669797,127.0097688
동대입구,37.5590324,127.0054598
동작,37.5032514,126.9759981
둔촌동,37.5280719,127.1366797
뚝섬,37.5485611,127.0450058
마곡,37.559684,126.8252631
마두,,
마장,37.5655903,127.0422999
마천,37.4945908,127.1510925
마포,37.54026,126.94675
매봉,37.4860153,127.0449216
명동,37.5612,126.98802
명일,37.55213,127.14392
목동,37.5248782,126.8647115
무악재,37.5835162,126.9496998
문래,37.5191008,126.894292
미사,,
미아,37.6262408,127.0261837
미아사거리,37.61175,127.03044
반월,,
발산,37.5586427,126.8375612
방배,37.4814676,126.998241
방이,37.5088199,127.1264659
방화,37.57864,126.8132
백석,,
범계,,
별내별 가람역,,
봉천,37.4833516,126.9417168
불광,37.6115685,126.9304886
사당,37.4747101,126.9817538
산본,,
삼각지,37.5345431,126.9733587
삼성,37.5088402,127.063143
삼송,,
상계,37.6599799,127.072456
상록수,,
상왕십리,37.5659227,127.0299688
상 일동,,
서대문,37.5662469,126.9662766
서울대입구,37.4806596,126.9525244
서초,37.4921027,127.0089619
선릉,37.5057908,127.0483487
선바위,,
성북,,
성수,37.5439789,127.056966
성신여대입구,37.59346,127.01636
송정,37.5612776,126.8118491
수 리산,,
수서,37.488227,127.1006273
수유,37.6370551,127.024797
숙대입구,37.5431477,126.9725121
신금호,37.5552,127.01986
신길온천,,
신답,37.57012,127.04754
신당,37.56535,127.01622
신대방,37.4874475,126.9120383
신림,37.4851736,126.9295914
신사,37.5916491,126.9137922
 신용산,37.5300338,126.9676784
신정,37.5247923,126.8537756
신정네거리,37.5218811,126.8517532
신창,,
신촌,37.5597815,126.9423581
쌍문,37.6483586,127.034565
쌍용,,
아차산,37.5511132,127.0905123
아현,37.5572665,126.9572515
안국,37.5762405,126.9861603
안산,,
압 구정,,
애오개,37.5531031,126.9566765
약수,37.5547911,127.0106133
양재,37.4838155,127.0346881
양천구청,37.5127668,126.866457
양평,37.5254771,126.8862392
여의나루,37.5268526,126.9325288
여의도,37.5216685,126.9243018
역삼,37.501657,127.0362961
연신내,37.6181449,126.9222105
영등포 구청,,
영등포시장,37.52257,126.9049854
오금,37.502594,127.1276474
오남역,,
오목교,37.5244192,126.8760954
오이도,,
옥수,37.5407675,127.0191526
올림픽공원,37.5163484,127.1313146
왕십리,37.5611294,127.0354654
용답,37.5624493,127.0514166
 용두,37.5739552,127.0371372
우장산,37.5489996,126.8364067
원당,,
원흥,,
을지로3가,37.5660315,126.9894137
을지로4가,37.5660515,126.9979858
을지로입구,37.5664096,126.9840244
이대,37.5566605,126.9447691
이수,37.4849733,126.9806863
이촌,37.5223012,126.9739562
인 덕원,,
일원,37.484274,127.0837121
잠실,37.5124397,127.0964435
잠실나루,37.5206873,127.1038121
잠실새내,37.5083999,127.0795842
잠원,37.5129294,127.0117464
장한평,37.56262,127.06514
정발산,,
정부과천청사,,
정왕,,
 종합운동장,37.5117024,127.0737613
주엽,,
중앙,,
지제,,
지축,,
진접광릉숲,,
천호,37.5379268,127.1256225
청구,37.55994,127.01461
청량리,37.5799754,127.0446284
초지,,
충무로,37.5610823,126.9953589
충정로,37.5613585,126.9635584
평촌,,
풍양역,,
하남검단산,,
하남시청,,
하남풍산,,
학여울,37.4972478,127.0719615
한대앞,,
한성대입구,37.5884599,127.0061144
한양대,37.5545552,127.0437506
합정,37.5486897,126.9142951
행당,37.55705,127.02872
혜화,37.5817992,127.0019755
홍대입구,37.5569268,126.9239947
홍제,37.587648,126.9441063
화곡,37.5416488,126.8404293
화정,,
회현,37.55772,126.97671
